[Rel: 35886]: super-relations are not supported yet. ref: 903630
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369559155.
[no data] missing stop node. rel: https://osm.org/relation/8047736 node: https://osm.org/node/369559163.
[no data] missing stop node. rel: https://osm.org/relation/71150 node: https://osm.org/node/428975746.
[no data] missing stop node. rel: https://osm.org/relation/5563137 node: https://osm.org/node/432547460.
[no data] missing stop node. rel: https://osm.org/relation/3432304 node: https://osm.org/node/428975748.
[no data] missing stop node. rel: https://osm.org/relation/5563137 node: https://osm.org/node/432547462.
[no data] missing stop node. rel: https://osm.org/relation/69916 node: https://osm.org/node/459925131.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432596620.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432596621.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/38348437.
[no data] missing stop node. rel: https://osm.org/relation/659834 node: https://osm.org/node/433047191.
[no data] missing stop node. rel: https://osm.org/relation/70035 node: https://osm.org/node/433047192.
[no data] missing stop node. rel: https://osm.org/relation/70035 node: https://osm.org/node/433047194.
[no data] missing stop node. rel: https://osm.org/relation/659834 node: https://osm.org/node/433047195.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/367666844.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/441730746.
[no data] missing stop node. rel: https://osm.org/relation/6075601 node: https://osm.org/node/2753382075.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/367666878.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432596670.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432596671.
[no data] missing stop node. rel: https://osm.org/relation/3385699 node: https://osm.org/node/564020927.
[no data] missing stop node. rel: https://osm.org/relation/7188545 node: https://osm.org/node/302646980.
[no data] missing stop node. rel: https://osm.org/relation/7188545 node: https://osm.org/node/302646982.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/680126156.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/367666900.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/322135783.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/322135784.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/322135786.
[no data] missing stop node. rel: https://osm.org/relation/421622 node: https://osm.org/node/626501366.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/367666945.
[no data] missing stop node. rel: https://osm.org/relation/8047747 node: https://osm.org/node/369559297.
